Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Ma�_ra Carneiro Proietti;1034184;N� Da Autoriza̤̣o/Licen̤a Sisbio: 22504, Projeto: Caracteriza̤̣o Gen̩tica De Tartarugas Marinhas De ́reas De Alimenta̤̣o E Desova Da Costa Brasileira.;14/07/2016;15/07/2016 a 24/07/2016;16/03/2016;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;6;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Parque Nacional Marinho Dos Abrolhos;Brasil;BA;Caravelas;Esp̩cie ṇo Sens�_vel;-17.976.389;-38.713.606;Coordenada de refer̻ncia da ��rea amostrada;Sem Informa̵̤es;Destinado a laborat�_rio
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Ma�_ra Carneiro Proietti;1034185;N� Da Autoriza̤̣o/Licen̤a Sisbio: 22504, Projeto: Caracteriza̤̣o Gen̩tica De Tartarugas Marinhas De ́reas De Alimenta̤̣o E Desova Da Costa Brasileira.;14/07/2016;15/07/2016 a 24/07/2016;16/03/2016;Eretmochelys imbricata imbricata;Tartaruga-de-pente;Eretmochelys imbricata;unranked;4;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Eretmochelys;Eretmochelys imbricata;Esp̩cie Amea̤ada;Criticamente em Perigo;Parque Nacional Marinho Dos Abrolhos;Brasil;BA;Caravelas;Esp̩cie ṇo Sens�_vel;-17.976.389;-38.713.606;Coordenada de refer̻ncia da ��rea amostrada;Sem Informa̵̤es;Destinado a laborat�_rio
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Paulo Dias Ferreira J̼nior;68848;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25620, Projeto: Dimorfismo Sexual Em Juvenis De Chelonia Mydas;31/05/2010;01/06/2010 a 20/08/2010;06/03/2012;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;81;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Praias Da Regịo Metropolitana De Vit�_ria;Brasil;ES;Vitoria;Esp̩cie ṇo Sens�_vel;-20.302.125;-40.284.697;Sem Informa̵̤es;Sem Informa̵̤es;Descartado
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Cinthia Saska;157147;N� Da Autoriza̤̣o/Licen̤a Sisbio: 24170, Projeto: Comportamento De Desova Da Tartaruga Marinha Eretmochelys Imbricata (Linnaeus, 1766) Em Praia Urbana;30/11/2009;01/12/2009 a 28/02/2010;14/08/2013;Eretmochelys imbricata imbricata;Tartaruga-de-pente;Eretmochelys imbricata;unranked;16;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Eretmochelys;Eretmochelys imbricata;Esp̩cie Amea̤ada;Criticamente em Perigo;Praia De Intermares;Brasil;PB;Joao Pessoa;Esp̩cie ṇo Sens�_vel;-7.041.944;-34.838.611;Coordenada aproximada;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Leandro De Oliveira Drummond;157844;N� Da Autoriza̤̣o/Licen̤a Sisbio: 13089, Projeto: Avalia̤̣o Ecol�_gica R��pida Da Herpetofauna Da Reserva Biol�_gica Santa Isabel, Estado De Sergipe.;07/02/2007;08/02/2007 a 08/05/2007;13/08/2017;Caretta caretta;Tartaruga-cabe̤uda;Caretta caretta;species;1;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Caretta;Caretta caretta;Esp̩cie Amea̤ada;Em Perigo;Reserva Biol�_gica De Santa Isabel;Brasil;SE;Sem Informa̵̤es;Esp̩cie ṇo Sens�_vel;-10.729.909;-36.840.549;Coordenada de refer̻ncia da ��rea amostrada;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Leandro De Oliveira Drummond;157845;N� Da Autoriza̤̣o/Licen̤a Sisbio: 13089, Projeto: Avalia̤̣o Ecol�_gica R��pida Da Herpetofauna Da Reserva Biol�_gica Santa Isabel, Estado De Sergipe.;07/02/2007;08/02/2007 a 08/05/2007;13/08/2017;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;1;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Reserva Biol�_gica De Santa Isabel;Brasil;SE;Sem Informa̵̤es;Esp̩cie ṇo Sens�_vel;-10.729.909;-36.840.549;Coordenada de refer̻ncia da ��rea amostrada;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Leandro De Oliveira Drummond;157846;N� Da Autoriza̤̣o/Licen̤a Sisbio: 13089, Projeto: Avalia̤̣o Ecol�_gica R��pida Da Herpetofauna Da Reserva Biol�_gica Santa Isabel, Estado De Sergipe.;07/02/2007;08/02/2007 a 08/05/2007;13/08/2017;Eretmochelys imbricata imbricata;Tartaruga-de-pente;Eretmochelys imbricata;unranked;1;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Eretmochelys;Eretmochelys imbricata;Esp̩cie Amea̤ada;Criticamente em Perigo;Reserva Biol�_gica De Santa Isabel;Brasil;SE;Sem Informa̵̤es;Esp̩cie ṇo Sens�_vel;-10.729.909;-36.840.549;Coordenada de refer̻ncia da ��rea amostrada;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Leandro De Oliveira Drummond;157847;N� Da Autoriza̤̣o/Licen̤a Sisbio: 13089, Projeto: Avalia̤̣o Ecol�_gica R��pida Da Herpetofauna Da Reserva Biol�_gica Santa Isabel, Estado De Sergipe.;07/02/2007;08/02/2007 a 08/05/2007;13/08/2017;Lepidochelys olivacea;Tartaruga-oliva;Lepidochelys olivacea;species;1;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Lepidochelys;Lepidochelys olivacea;Esp̩cie Amea̤ada;Em Perigo;Reserva Biol�_gica De Santa Isabel;Brasil;SE;Sem Informa̵̤es;Esp̩cie ṇo Sens�_vel;-10.729.909;-36.840.549;Coordenada de refer̻ncia da ��rea amostrada;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Cinthia Carneiro Da Silva;66172;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25829, Projeto: Fibropapilomas Em Tartarugas Marinhas: Poss�_veis Rela̵̤es Com Polui̤̣o Ambiental Por Metais;15/11/2011;16/11/2011 a 18/11/2011;14/03/2017;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;6;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Base Do Projeto Tamar - Ubatuba;Brasil;SP;Ubatuba;Esp̩cie ṇo Sens�_vel;-23.433.333;-45.083.333;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Cinthia Carneiro Da Silva;66173;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25829, Projeto: Fibropapilomas Em Tartarugas Marinhas: Poss�_veis Rela̵̤es Com Polui̤̣o Ambiental Por Metais;15/01/2012;16/01/2012 a 20/01/2012;14/03/2017;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;9;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Base Do Projeto Tamar - Ubatuba;Brasil;SP;Ubatuba;Esp̩cie ṇo Sens�_vel;-23.433.333;-45.083.333;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Cinthia Carneiro Da Silva;66183;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25829, Projeto: Fibropapilomas Em Tartarugas Marinhas: Poss�_veis Rela̵̤es Com Polui̤̣o Ambiental Por Metais;09/01/2011;10/01/2011 a 14/01/2011;14/03/2017;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;2;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Base Do Projeto Tamar - Ubatuba;Brasil;SP;Ubatuba;Esp̩cie ṇo Sens�_vel;-23.433.333;-45.083.333;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Cinthia Carneiro Da Silva;66184;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25829, Projeto: Fibropapilomas Em Tartarugas Marinhas: Poss�_veis Rela̵̤es Com Polui̤̣o Ambiental Por Metais;13/03/2011;14/03/2011 a 18/03/2011;14/03/2017;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;5;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Base Do Projeto Tamar - Ubatuba;Brasil;SP;Ubatuba;Esp̩cie ṇo Sens�_vel;-23.433.333;-45.083.333;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Cinthia Carneiro Da Silva;66185;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25829, Projeto: Fibropapilomas Em Tartarugas Marinhas: Poss�_veis Rela̵̤es Com Polui̤̣o Ambiental Por Metais;07/08/2011;08/08/2011 a 12/08/2011;14/03/2017;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;6;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Base Do Projeto Tamar - Ubatuba;Brasil;SP;Ubatuba;Esp̩cie ṇo Sens�_vel;-23.433.333;-45.083.333;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Cinthia Carneiro Da Silva;66202;N� Da Autoriza̤̣o/Licen̤a Sisbio: 25829, Projeto: Fibropapilomas Em Tartarugas Marinhas: Poss�_veis Rela̵̤es Com Polui̤̣o Ambiental Por Metais;14/05/2011;15/05/2011 a 21/05/2011;14/03/2017;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;17;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Associa̤̣o Guajiru - Projeto Tartarugas Urbanas;Brasil;PB;Cabedelo;Esp̩cie ṇo Sens�_vel;-6.980.833;-34.833.889;Sem Informa̵̤es;Sem Informa̵̤es;Destinado (outros)
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Alexandre Schiavetti;102241;N� Da Autoriza̤̣o/Licen̤a Sisbio: 24635, Projeto: Captura Acidental E Etnoconhecimento Sobre Tartarugas Marinhas (Testudines Cheloniidae) Em Ilh̩us, Bahia;31/05/2011;01/06/2011 a 01/08/2011;25/06/2014;Lepidochelys olivacea;Tartaruga-oliva;Lepidochelys olivacea;species;1;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Lepidochelys;Lepidochelys olivacea;Esp̩cie Amea̤ada;Em Perigo;Costa Do Municipio;Brasil;BA;Ilheus;Esp̩cie ṇo Sens�_vel;-14.779.692;-38.998.608;Coordenada aproximada;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Silmara Rossi;19498;N� Da Autoriza̤̣o/Licen̤a Sisbio: 22751, Projeto: Avalia̤̣o Da Fun̤̣o Celular De Leuc�_citos Por Citometria De Fluxo E A Influ̻ncia De Bifenilos Policlorados No Desenvolvimento Da Fibropapilomatose Em Chelonia Mydas (Linnaeus, 1758)(Testudines, Cheloniidae;09/01/2011;10/01/2011 a 14/01/2011;09/02/2015;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;3;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Base Do Projeto Tamar/Icmbio Em Almofala/Ce;Brasil;CE;Itarema;Esp̩cie ṇo Sens�_vel;-2.947.219;-39.815.556;Sem Informa̵̤es;Sem Informa̵̤es;Solto/mantido na natureza
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Silmara Rossi;19500;N� Da Autoriza̤̣o/Licen̤a Sisbio: 22751, Projeto: Avalia̤̣o Da Fun̤̣o Celular De Leuc�_citos Por Citometria De Fluxo E A Influ̻ncia De Bifenilos Policlorados No Desenvolvimento Da Fibropapilomatose Em Chelonia Mydas (Linnaeus, 1758)(Testudines, Cheloniidae;21/03/2011;22/03/2011 a 22/03/2011;09/02/2015;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;1;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Aqu��rio Municipal;Brasil;SP;Santos;Esp̩cie ṇo Sens�_vel;-24.087.778;-46.295.278;Sem Informa̵̤es;Sem Informa̵̤es;Ser�� destinado posteriormente
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Silmara Rossi;19556;N� Da Autoriza̤̣o/Licen̤a Sisbio: 22751, Projeto: Avalia̤̣o Da Fun̤̣o Celular De Leuc�_citos Por Citometria De Fluxo E A Influ̻ncia De Bifenilos Policlorados No Desenvolvimento Da Fibropapilomatose Em Chelonia Mydas (Linnaeus, 1758)(Testudines, Cheloniidae;01/08/2011;02/08/2011 a 02/08/2011;09/02/2015;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;3;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Aqu��rio Municipal;Brasil;SP;Santos;Esp̩cie ṇo Sens�_vel;-24.087.778;-46.295.278;Sem Informa̵̤es;Sem Informa̵̤es;Ser�� destinado posteriormente
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Silmara Rossi;19582;N� Da Autoriza̤̣o/Licen̤a Sisbio: 22751, Projeto: Avalia̤̣o Da Fun̤̣o Celular De Leuc�_citos Por Citometria De Fluxo E A Influ̻ncia De Bifenilos Policlorados No Desenvolvimento Da Fibropapilomatose Em Chelonia Mydas (Linnaeus, 1758)(Testudines, Cheloniidae;19/09/2011;20/09/2011 a 20/09/2011;09/02/2015;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;1;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Aqu��rio Municipal;Brasil;SP;Santos;Esp̩cie ṇo Sens�_vel;-24.087.778;-46.295.278;Sem Informa̵̤es;Sem Informa̵̤es;Ser�� destinado posteriormente
Sem Informa̵̤es;ICMBio;Sistema de Autoriza̤̣o e Informa̤̣o em Biodiversidade.;SISBIO-DIBIO;Silmara Rossi;19583;N� Da Autoriza̤̣o/Licen̤a Sisbio: 22751, Projeto: Avalia̤̣o Da Fun̤̣o Celular De Leuc�_citos Por Citometria De Fluxo E A Influ̻ncia De Bifenilos Policlorados No Desenvolvimento Da Fibropapilomatose Em Chelonia Mydas (Linnaeus, 1758)(Testudines, Cheloniidae;03/11/2011;04/11/2011 a 04/11/2011;09/02/2015;Chelonia mydas agassizi;Tartaruga-verde;Chelonia mydas;unranked;2;Sem Informa̵̤es;Chordata;Reptilia;Testudines;Cheloniidae;Chelonia;Chelonia mydas;Esp̩cie Amea̤ada;Vulner��vel;Aqu��rio Municipal;Brasil;SP;Santos;Esp̩cie ṇo Sens�_vel;-24.087.778;-46.295.278;Sem Informa̵̤es;Sem Informa̵̤es;Ser�� destinado posteriormente
